date,Average
Jan-14,1.646978
Feb-14,1.655038
Mar-14,1.663331
Apr-14,1.673308
May-14,1.68415
Jun-14,1.690199
Jul-14,1.708261
Aug-14,1.671179
Sep-14,1.630706
Oct-14,1.607207
Nov-14,1.578398
Dec-14,1.563439
Jan-15,1.513694
Feb-15,1.531537
Mar-15,1.498029
Apr-15,1.49353
May-15,1.545864
Jun-15,1.557259
Jul-15,1.555726
Aug-15,1.558645
Sep-15,1.533982
Oct-15,1.532642
Nov-15,1.5194
Dec-15,1.500284
Jan-16,1.441775
Feb-16,1.43164
Mar-16,1.424815
Apr-16,1.429959
May-16,1.452412
Jun-16,1.424158
Jul-16,1.314143
Aug-16,1.308846
Sep-16,1.314477
Oct-16,1.237451
Nov-16,1.245
Dec-16,1.248012
